Model,MAE,RMSE,MAPE(%),sMAPE(%),MdAE,Theil_U,Pearson_r,Spearman_rho
Gravity1,54503782709.991325,930574508918.1827,327947299485.2841,199.99900344757728,3702.7173599999996,0.9999990752843666,0.03718740126083393,0.10374936700027569
Gravity2,25851116005.53834,378268645645.9457,89803614907.30962,199.99683380506718,3702.7173599999996,0.9999977290270399,0.03420496104977988,0.1058280252541935
Gravity3,87762549139.6521,694039924863.2313,912206398514.8013,199.9996207384207,43799999.27928001,0.9999987534842802,0.03475394882061246,0.1726236386249962
Gravity4,344028.3178686012,2298048.0697772475,3300378.886169221,181.05231561319587,8404.52632,0.7603694388121238,0.04794124800633921,0.17364770759328976
Gravity5,180415.89916376182,982908.5166222448,3133401.5411500745,180.91583075680904,10344.738239999999,0.6798537248294384,0.07585838635760872,0.1727043152541393
Gravity6,99763.02003209828,823976.2829593166,9191.182900946445,176.20633046022186,937.98648,0.9912695805662916,0.03473595551539094,0.1740198183503422
